,segment_id,program,title,start,duration,start_s,duration_s,end_s,has_parts
1,5265990_001,5265990_001,6h30 le journal : [émission du 19 mai 2014],00:00:00,00:04:14 ,0.0,254.0,254.0,True
2,5265990_001_002,5265990_001,RETOUR JEROME KERVIEL,0:00:29,00:01:10 ,29.0,70.0,99.0,True
3,5265990_001_003,5265990_001,Brève : SAPIN / IMPOTS,0:01:39,00:00:14 ,99.0,14.0,113.0,True
4,5265990_001_004,5265990_001,LOI AUTORITÉ PARENTALE,0:02:09,00:00:58 ,129.0,58.0,187.0,True
5,5265990_001_005,5265990_001,Brève : INONDATIONS BALKANS,0:03:07,00:00:28 ,187.0,28.0,215.0,True
6,5265990_001_006,5265990_001,Brève : FESTIVAL DE CANNES,0:03:35,00:00:27 ,215.0,27.0,242.0,True
7,5265990_001_007,5265990_001,fin,0:04:02,00:00:07 ,242.0,7.0,249.0,True
8,5265994_001,5265994_001,7h00 le journal : [émission du 19 mai 2014],00:00:00,00:09:42 ,0.0,582.0,582.0,True
9,5265994_001_002,5265994_001,RETOUR KERVIEL / ARRESTATION,0:00:26,00:01:08 ,26.0,68.0,94.0,True
10,5265994_001_003,5265994_001,Brève : LE DRIAN A BANGUI,0:01:34,00:00:16 ,94.0,16.0,110.0,True
11,5265994_001_004,5265994_001,COLOMBIE / BUS ÉCOLE,0:02:01,00:00:34 ,121.0,34.0,155.0,True
12,5265994_001_006,5265994_001,INONDATIONS BALKANS (+ EXTRAIT RENAUD BERNARD),0:02:47,00:01:07 ,167.0,67.0,234.0,True
13,5265994_001_007,5265994_001,Brève : CARTE / CORPS RETROUVÉ AU LARGE DE JOBOURG,0:03:54,00:00:38 ,234.0,38.0,272.0,True
14,5265994_001_008,5265994_001,Brève : NEW OFF 17 DÉPARTEMENTS / CATASTROPHE NATURELLE,0:04:32,00:00:03 ,272.0,3.0,275.0,True
15,5265994_001_009,5265994_001,LOI AUTORITÉ PARENTALE,0:04:51,00:00:15 ,291.0,15.0,306.0,True
16,5265994_001_011,5265994_001,SAPIN / IMPOTS PÉRENNISÉS JUSQU'EN 2017,0:05:24,00:00:16 ,324.0,16.0,340.0,True
17,5265994_001_013,5265994_001,PLATEAU JEAN-PAUL CHAPEL,0:05:47,00:01:00 ,347.0,60.0,407.0,True
18,5265994_001_014,5265994_001,Brève : CANNES,0:06:47,00:00:20 ,407.0,20.0,427.0,True
19,5265994_001_015,5265994_001,"FILM ""THE HOMESMAN""",0:07:16,00:01:18 ,436.0,78.0,514.0,True
20,5265994_001_017,5265994_001,FOOT / FEDERATION FRANCAISE DE FOOT,0:08:46,00:00:40 ,526.0,40.0,566.0,True
21,5265994_001_018,5265994_001,Brève : fin,0:09:26,00:00:06 ,566.0,6.0,572.0,True
22,5265997_001,5265997_001,7h30 le journal : [émission du 19 mai 2014],00:00:00,00:09:20 ,0.0,560.0,560.0,True
23,5265997_001_002,5265997_001,RETOUR KERVIEL / ARRESTATION,0:00:34,00:01:10 ,34.0,70.0,104.0,True
24,5265997_001_004,5265997_001,LOI AUTORITÉ PARENTALE,0:02:04,00:01:01 ,124.0,61.0,185.0,True
25,5265997_001_005,5265997_001,Brève : NEW OFF / 17 DEPARTEMENTS / CATASTROPHE NATURELLE,0:03:05,00:00:36 ,185.0,36.0,221.0,True
26,5265997_001_006,5265997_001,FACTUEL BALKANS (+ EXTRAIT RENAUD BERNARD),0:03:57,00:00:48 ,237.0,48.0,285.0,True
27,5265997_001_008,5265997_001,COLOMBIE BUS INCENDIE,0:05:01,00:00:49 ,301.0,49.0,350.0,True
28,5265997_001_010,5265997_001,SAPIN SUR LES IMPOTS,0:06:00,00:00:16 ,360.0,16.0,376.0,True
29,5265997_001_012,5265997_001,PLATEAU JEAN-PAUL CHAPEL,0:06:27,00:01:05 ,387.0,65.0,452.0,True
30,5265997_001_014,5265997_001,"FILM ""THE HOMESMAN""",0:07:49,00:01:18 ,469.0,78.0,547.0,True
31,5265997_001_015,5265997_001,fin,0:09:07,00:00:05 ,547.0,5.0,552.0,True
33,5266001_001,5266001_001,8h00 le journal : [émission du 19 mai 2014],00:00:00,00:11:45 ,0.0,705.0,705.0,True
