program,content,start,end,start_s,end_s,duration_s
PROG_2020_00824382,-urheilusta,"00:00:01,960","00:00:03,800",1.96,3.8,1.8399999999999999
PROG_2020_00824382,"hyvää iltaa, tuore kysely
paljastaa hätkähdyttäviä asioita","00:00:19,480","00:00:23,040",19.48,23.04,3.5599999999999987
PROG_2020_00824382,"naisurheilijoiden suhteesta
omaan kehoonsa moni kyselyyn","00:00:23,040","00:00:27,040",23.04,27.04,4.0
PROG_2020_00824382,"vastanneista määrittelee
oman arvonsa painonsa mukaan.","00:00:27,040","00:00:31,080",27.04,31.08,4.039999999999999
PROG_2020_00824382,"Ilkka Herola kamppailemaan kun
maailmancup kisan voitosta mutta","00:00:31,080","00:00:34,560",31.08,34.56,3.480000000000004
PROG_2020_00824382,"taipui loppusuoralla valioliigan
tasaisessa kärkikamppailussa","00:00:34,560","00:00:38,760",34.56,38.76,4.199999999999996
PROG_2020_00824382,"kohtasivat Liverpoolia Manchester
United suomalainen pikaluistelu","00:00:38,760","00:00:43,520",38.76,43.52,4.760000000000005
PROG_2020_00824382,"hakee uutta tulemista Mika
Poutalan ja Pekka Koskelan jälkeen.","00:00:43,520","00:00:48,360",43.52,48.36,4.839999999999996
PROG_2020_00824382,"Lasten ja nuorten
sisäliikuntaharrastusten avaamiselle","00:00:48,360","00:00:51,040",48.36,51.04,2.6799999999999997
PROG_2020_00824382,"paljon painetta joillakin alueilla
tilat olleet säpissä viikkoja.","00:00:51,040","00:00:56,000",51.04,56.0,4.960000000000001
PROG_2020_00824382,"Tuore kyselytutkimus paljastaa
huolestuttavia asioita suomalaisten","00:00:58,400","00:01:01,880",58.4,61.88,3.480000000000004
PROG_2020_00824382,"naisurheilijoiden suhteesta
kehoon ravintoon ja painoon.","00:01:01,880","00:01:05,720",61.88,65.72,3.8399999999999963
PROG_2020_00824382,"Jyväskylän yliopiston ja kivun
kyselyyn vastanneista urheilijoista","00:01:05,720","00:01:09,120",65.72,69.12,3.4000000000000057
PROG_2020_00824382,"jopa 40 %:a määrittelee
oman arvonsa painon mukaan.","00:01:09,120","00:01:13,080",69.12,73.08,3.9599999999999937
PROG_2020_00824382,"Ella Junnilan lajissa korkeushypyssä
painonhallinta on tarkkaa ja","00:01:14,800","00:01:17,880",74.8,77.88,3.0799999999999983
PROG_2020_00824382,"jokainen ylimääräinen kilo massaa vie
maksimituloksesta 2,5 senttiä pois.","00:01:17,880","00:01:23,080",77.88,83.08,5.200000000000003
PROG_2020_00824382,"Nuorempana Junnila ei ollut
täysin sinut kehonsa kanssa,","00:01:23,080","00:01:25,960",83.08,85.96000000000001,2.8800000000000097
PROG_2020_00824382,"mutta paineet ovat helpottaneet
ja itsetunto on vahvistunut..","00:01:25,960","00:01:29,120",85.96000000000001,89.12,3.1599999999999966
PROG_2020_00824382,"Mä oon esimerkiks tosi pitkä.
Nainen ja se,","00:01:30,120","00:01:32,760",90.12,92.75999999999999,2.6399999999999864
PROG_2020_00824382,"että niinku et mun paino ei tuu
olemaan normaalistikaan yhtä alhaalla","00:01:32,760","00:01:36,760",92.75999999999999,96.75999999999999,4.0
PROG_2020_00824382,"kun sellaisen ihmisen joka on
vaikka mä oon 20 senttiä lyhyempi,","00:01:36,760","00:01:40,000",96.75999999999999,100.0,3.240000000000009
PROG_2020_00824382,"että niin kuin olis ollu sitä tukee
että he et sä saat olla kuka sä oot","00:01:40,000","00:01:43,840",100.0,103.84,3.8400000000000034
PROG_2020_00824382,"sä saat kasvaa rauhassa ja sä saat
kasvaa sellaseks ku just. Sinä olet.","00:01:43,840","00:01:49,680",103.84,109.68,5.840000000000003
PROG_2020_00824382,"Harrastekilpa- ja kansainvälisen
tason naisurheilijoille suunnatun","00:01:49,680","00:01:53,520",109.68,113.52000000000001,3.8400000000000034
PROG_2020_00824382,kyselyn tulokset ovat huolestuttavia.,"00:01:53,520","00:01:55,960",113.52000000000001,115.96000000000001,2.4399999999999977
PROG_2020_00824382,"Noin 900:sta yli 15-vuotiaasta
vastaajasta lähes 2/3 kertoi","00:01:55,960","00:02:00,840",115.96000000000001,120.84,4.8799999999999955
PROG_2020_00824382,"painoon vaikuttavan siihen, mitä he
ajattelevat itsestään. Joka neljäs","00:02:00,840","00:02:05,480",120.84,125.48,4.640000000000001
PROG_2020_00824382,"rajoittaa tai kontrolloi syömistään
tarkasti ja joka viidettä joko","00:02:05,480","00:02:09,680",125.48,129.68,4.200000000000003
PROG_2020_00824382,"tuomarin valmentaja tai perheenjäsen
on haukkunut lihavaksi lähes joka","00:02:09,680","00:02:14,280",129.68,134.28,4.599999999999994
PROG_2020_00824382,"viides kertoi syömishäiriöstä
tai syömishäiriötaustasta.","00:02:14,280","00:02:18,000",134.28,138.0,3.719999999999999
PROG_2020_00824382,"Lukioikäisten tyttöjen keskuudessa
paino on yleinen puheenaihe ja","00:02:18,800","00:02:22,480",138.8,142.48,3.6799999999999784
PROG_2020_00824382,"siitä keskustellaan usein erittäin
negatiiviseen sävyyn ulkoiset","00:02:22,480","00:02:26,600",142.48,146.6,4.1200000000000045
PROG_2020_00824382,"paineet ovat läsnä nuorten elämässä
kun esimerkiksi sosiaalinen","00:02:26,600","00:02:30,240",146.6,150.24,3.640000000000015
PROG_2020_00824382,media ruokkii tietynlaista naiskuvaa.,"00:02:30,240","00:02:32,760",150.24,152.76,2.519999999999982
PROG_2020_00824382,"Te nyt. Joku tulee joka puolelta
se ois just sosiaalisessa mediassa","00:02:32,760","00:02:36,040",152.76,156.04,3.280000000000001
PROG_2020_00824382,"joka paikasta tulee semmoset vähän
tämmönen ois semmonen oikea naisen","00:02:36,040","00:02:39,960",156.04,159.96,3.920000000000016
PROG_2020_00824382,"kuvaa tai tämmönen ois kivoja
tälle ja varsinkin niin kuin muut","00:02:39,960","00:02:43,600",159.96,163.6,3.6399999999999864
PROG_2020_00824382,"puhuu silti tämä on hyvä ja tosiaan
tälle nykyisen pakosta nyt miettii","00:02:43,600","00:02:46,720",163.6,166.72,3.1200000000000045
PROG_2020_00824382,"sitä et no et oonks mä tollanen
ja oonks mä sit riittävän hyvä.","00:02:46,720","00:02:50,760",166.72,170.76,4.039999999999992
PROG_2020_00824382,"Kyselytutkimusta rakentamassa ollut
urheilupsykologi on tuloksista
surullinen muttei yllättynyt.","00:02:50,760","00:02:56,600",170.76,176.6,5.840000000000003
PROG_2020_00824382,"Koulutuksen kautta pitää alottaa
aika laajalla rintamalla.","00:02:56,600","00:03:00,800",176.6,180.8,4.200000000000017
PROG_2020_00824382,"Nyt valmentajakoulutuksissa näistä
teemoista pitää diet antaa uutta","00:03:00,800","00:03:05,560",180.8,185.56,4.759999999999991
PROG_2020_00824382,"tietoa ja keskusteluttaa valmentajia
yhä heitä vähän tietokannan","00:03:05,560","00:03:10,320",185.56,190.32,4.759999999999991
PROG_2020_00824382,"tietoisemmaksi ihan näistä faktaa
asioista ja sitä esimerkiksi","00:03:10,320","00:03:13,680",190.32,193.68,3.3600000000000136
PROG_2020_00824382,"sitä omasta kielenkäytöstä
tieteelliselle tiedolle ja oikealle","00:03:13,680","00:03:17,600",193.68,197.6,3.9199999999999875
PROG_2020_00824382,"tiedolle olis olis kovasti
käyttöön mun mielestä myös tiellä","00:03:17,600","00:03:20,760",197.6,200.76,3.1599999999999966
PROG_2020_00824382,urheilijoitten koulutuksen puolella.,"00:03:20,760","00:03:24,040",200.76,204.04,3.280000000000001
PROG_2020_00824382,"Urheilijat toivovat naisilta
armollisuutta itseään kohtaan","00:03:24,040","00:03:27,840",204.04,207.84,3.8000000000000114
PROG_2020_00824382,"puhuminen vaikeistakin asioista
on aina parempi ratkaisu","00:03:27,840","00:03:30,880",207.84,210.88,3.039999999999992
PROG_2020_00824382,kuin niiden peittely ja vaikeneminen.,"00:03:30,880","00:03:33,280",210.88,213.28,2.4000000000000057
PROG_2020_00824382,"Erityisesti siinä kasvuvaiheessa
että kun kasvetaan sieltä tytöstä","00:03:33,280","00:03:37,160",213.28,217.16,3.8799999999999955
PROG_2020_00824382,"naiseksi, niin se se ei oo helppo
paikka sun keholle eikä mielelle on","00:03:37,160","00:03:44,160",217.16,224.16,7.0
PROG_2020_00824382,"armollinen antaa aikaa ja hormonit
tasottuu ja elämä jatkuu kahdenkympin","00:03:44,160","00:03:48,720",224.16,228.72,4.560000000000002
PROG_2020_00824382,"jälkeen, että se ei, se ei.
Pysähdy siihen.","00:03:48,720","00:03:53,280",228.72,233.28,4.560000000000002
PROG_2020_00824382,"Ja jatketaan aiheesta
keskustelua studiossa vieraana","00:03:54,480","00:03:57,720",234.48,237.72,3.240000000000009
PROG_2020_00824382,"liikuntalääketieteen erikoislääkäri
kaatimia sinne tervetuloa, kiitos,","00:03:57,720","00:04:01,800",237.72,241.8,4.0800000000000125
PROG_2020_00824382,"niin minkälaisia ajatuksia tuojalla
Junnilan viimeinen kommentti herätti.","00:04:01,800","00:04:05,480",241.8,245.48,3.6799999999999784
PROG_2020_00824382,"Mun mielestä Ellakin täytti
tässä kaiken eli tosi tärkeetä","00:04:05,480","00:04:10,160",245.48,250.16,4.680000000000007
PROG_2020_00824382,"että kasvavat nuoret urheilijat
sekä lapset että nuoret ja","00:04:10,160","00:04:14,040",250.16,254.04,3.8799999999999955
